DecibelSource,DecibelSource,DecibelSource,PitchSensor,PitchSensor,PitchSensor
18.8276993,22.32270521,16.90774372,34.83314732,23.22209821,46.44419643
25.44411838,30.46890625,16.90774372,30.96279762,26.81456931,46.44419643
35.48725802,34.90483505,48.44835982,23.22209821,32.84100624,23.22209821
46.72903911,27.96329258,56.56216969,130.367749,184.3678388,130.367749
61.61699279,8.837056443,65.44808474,173.8236654,150.53571,260.735498
66.07798838,1.020583259,66.25626604,260.735498,0,260.735498
66.54532465,0.501962289,66.29234217,263.2350274,4.999058702,260.735498
64.97340484,2.222273621,66.2201899,264.734745,5.476194435,260.735498
63.71421405,3.103961845,64.31393617,266.7343685,5.476194435,270.7336155
61.23512035,4.201357426,61.17216206,268.733992,4.471294033,270.7336155
59.54937974,3.070305843,59.93664168,275.5751126,10.82591668,270.7336155
59.69303869,2.523305414,60.0303286,280.4166097,13.25898594,270.7336155
59.60998343,2.406952797,60.0303286,285.2581068,13.25898594,294.9411011
59.91888681,2.538540761,60.64813536,288.8892297,12.10374281,294.9411011
59.91236534,2.550926804,60.64813536,294.9411011,0,294.9411011
59.91236534,2.550926804,60.64813536,293.7004259,2.148912455,294.9411011
55.66338135,8.736392767,58.72499221,293.0800883,2.631869509,293.0800883
53.52602133,9.331505274,56.27772921,291.2190755,0,291.2190755
43.68156622,12.32874129,43.12807958,291.2190755,0,291.2190755
37.38348472,8.124083963,37.38348472,291.2190755,0,291.2190755
25.66198054,21.0993211,31.63888986,291.2190755,0,291.2190755
16.92893102,20.8030233,16.92893102,291.2190755,0,291.2190755
16.92893102,20.8030233,16.92893102,291.4142144,0.33799047,291.2190755
5.790668687,5.051141652,5.790668687,291.5117839,0.33799047,291.5117839
21.50739074,27.45547436,9.362365202,291.658138,0.292708333,291.8044922
31.15160003,30.8146314,31.15160003,304.7428051,29.25930307,291.8044922
41.27415024,27.96728129,52.94083485,317.9152846,35.75367499,291.8044922
46.35087864,24.99076963,57.23004276,324.4429827,37.68768257,324.4429827
58.68038312,4.970690695,61.51925067,340.762228,32.63849051,357.0814732
61.16315132,0.671026078,61.51925067,357.0814732,6.96E-14,357.0814732
60.37543422,1.667985889,60.95419506,357.0814732,0,357.0814732
59.99416207,1.816880477,60.38913945,313.2892718,61.93152522,313.2892718
58.243819,2.039433677,58.01228292,313.2892718,61.93152522,313.2892718
58.243819,2.039433677,58.01228292,269.4970703,0,269.4970703
55.82253107,2.482716223,56.33003462,269.4970703,0,269.4970703
54.09705216,1.93922674,53.12527567,269.4970703,0,269.4970703
54.09705216,1.93922674,53.12527567,269.4970703,0,269.4970703
54.00041207,1.772351933,53.12527567,269.4970703,0,269.4970703
55.02068442,2.501594876,54.58269501,269.4970703,0,269.4970703
55.65248734,2.644223106,56.04011434,267.8171115,2.375820473,267.8171115
56.6117044,1.283314942,56.04011434,267.8171115,2.375820473,267.8171115
56.6117044,1.283314942,56.04011434,266.1371528,0,266.1371528
54.99045216,3.508895642,55.71349738,266.1371528,0,266.1371528
53.44492751,3.208242276,53.44492751,266.1371528,0,266.1371528
53.44492751,3.208242276,53.44492751,266.3250506,0.325448638,266.1371528
46.02393543,7.286625371,46.02393543,266.4189996,0.325448638,266.4189996
38.78473196,13.55601915,40.87151321,266.559923,0.281846788,266.7008464
33.98699303,8.629321923,36.78314085,266.5881076,0.252091431,266.7008464
33.98699303,8.629321923,36.78314085,266.8460286,0.324637473,266.7008464
36.40822924,8.549444639,38.82732703,266.9912109,0.39759808,266.7008464
39.59835129,12.31948213,40.22753935,267.1363932,0.39759808,267.4267578
48.26598074,9.941119775,48.65196963,267.2452799,0.362955729,267.4267578
54.68788964,8.194195921,56.30442213,267.4267578,0,267.4267578
54.68788964,8.194195921,56.30442213,350.4980469,143.8836933,267.4267578
58.35987357,4.451569873,58.97684286,433.5693359,143.8836933,516.640625
57.52100514,5.815992017,58.97684286,516.640625,0,516.640625
51.74024383,10.432153,51.11539612,516.640625,0,516.640625
46.37497752,6.703964275,46.37497752,516.640625,0,516.640625
42.8248789,7.764094876,41.63455892,516.640625,0,516.640625
37.59509804,12.23069408,38.67962029,516.640625,0,516.640625
37.59579856,12.23172662,38.67962029,516.640625,0,516.640625
36.2495451,14.61329238,35.72468165,511.3354492,7.502651541,511.3354492
41.39425343,15.75555896,43.42143992,506.0302734,0,506.0302734
46.74416514,16.78807026,53.97328832,506.0302734,0,506.0302734
55.28653873,2.813767862,56.45181413,506.0302734,0,506.0302734
56.28726433,0.894123196,56.45181413,506.0302734,0,506.0302734
56.28726433,0.894123196,56.45181413,416.8893772,154.3965614,506.0302734
52.40097931,7.456842837,55.59817521,327.7484809,154.3965614,238.6075846
47.71916393,9.182146954,48.20216946,238.6075846,3.48E-14,238.6075846
44.1788338,7.453775232,41.59858384,238.6075846,0,238.6075846
41.32010373,2.198215195,41.59858384,238.6075846,0,238.6075846
41.24365732,1.911369351,41.28323834,238.6075846,3.48E-14,238.6075846
41.23376207,2.206911331,41.42590052,222.2669426,28.30282226,238.6075846
44.6778537,5.124902456,42.80005481,205.9263005,28.30282226,189.5856585
48.05951829,6.861691226,47.92980688,189.5856585,0,189.5856585
49.51729763,7.607462531,52.17343347,207.0525251,34.93373326,189.5856585
53.84333973,1.634788557,53.915998,217.5326451,38.26798745,189.5856585
53.91109488,1.341660214,54.01517917,231.5061384,38.26798745,259.453125
54.49031535,0.828914997,54.11436035,241.5399251,30.26995798,259.453125
54.23345565,0.390859006,54.11436035,251.5737119,10.78933078,259.453125
54.42925758,0.505173993,54.39218447,247.6340053,10.78933078,239.7545922
54.8893515,0.687182254,54.84333599,243.6942987,8.809451693,239.7545922
55.14768188,0.554906888,55.01666338,237.1171503,5.897499311,239.7545922
54.76539565,0.888736265,54.84333599,234.4797084,7.222932035,239.7545922
53.73622472,2.299654101,54.31760017,231.8422666,7.222932035,226.5673828
53.30941183,2.615262515,53.61853696,209.1302733,46.71276295,226.5673828
50.9403888,2.507126141,50.55332485,186.41828,54.97642314,226.5673828
51.02711011,2.054394477,50.92029944,166.3437286,54.97642314,126.1946259
49.89449208,1.234870972,49.82069485,151.2878151,50.18637848,126.1946259
47.32252623,4.8442012,48.86868472,126.1946259,0,126.1946259
45.40930827,5.991805143,48.64930458,126.1946259,0,126.1946259
44.59930919,6.595072537,44.67676316,105.0251287,29.93819001,105.0251287
41.81260699,4.985797308,40.20296334,83.85563151,0,83.85563151
43.2885021,7.88704049,40.20296334,83.85563151,0,83.85563151
47.35591491,9.77709487,47.56605527,83.85563151,0,83.85563151
49.79784133,7.545441152,51.25789372,83.85563151,0,83.85563151
49.79784133,7.545441152,51.25789372,129.1164212,78.39398733,83.85563151
48.56574268,9.733251811,51.25789372,151.746816,96.01263393,151.746816
46.42377513,10.70402431,47.52414211,219.6380006,0,219.6380006
38.50602126,7.903883193,35.21207061,219.6380006,0,219.6380006
